更新时间,股票代码,股票名称,持仓数量,买入价格,买入时间,当前价格,持仓市值,盈亏金额,盈亏比例(%)
2026-03-25 11:38:01,600101,明星电力,1800,10.60,2026-03-24 14:20:31,10.92,19656.00,576.00,3.02
2026-03-25 11:38:01,600338,西藏珠峰,1200,15.54,2026-03-24 14:22:48,15.66,18792.00,144.00,0.77
2026-03-25 11:38:01,600176,中国巨石,800,23.93,2026-03-24 14:27:24,24.72,19776.00,632.00,3.30
2026-03-25 11:38:01,600186,莲花控股,2800,7.10,2026-03-25 09:56:33,7.04,19712.00,-168.00,-0.85
2026-03-25 11:38:01,600301,华锡有色,400,49.37,2026-03-25 10:00:44,48.12,19248.00,-500.00,-2.53

汇总,,,,,,,97184.00,684.00,0.71

账户汇总,,,,,,,总资产: 104446.00,可用资金: 7262.00,总收益: 4.45%
