交易时间,交易类型,股票代码,股票名称,交易价格,交易数量,交易金额,盈亏金额,盈亏比例(%),交易原因
2026-03-24 14:20:31,买入,600101,明星电力,10.60,1800,19080.00,,,涨5.5%+换7.2%+放量
2026-03-24 14:21:44,买入,600163,中闽能源,6.81,2900,19749.00,,,涨5.8%+换5.1%+放量
2026-03-24 14:22:48,买入,600338,西藏珠峰,15.54,1200,18648.00,,,涨5.6%+换4.5%+放量
2026-03-24 14:23:53,买入,600487,亨通光电,43.18,400,17272.00,,,涨4.4%+换4.2%+放量
2026-03-24 14:27:24,买入,600176,中国巨石,23.93,800,19144.00,,,涨2.1%+换2.1%+放量
2026-03-25 09:56:33,卖出,600163,中闽能源,7.51,2900,21779.00,2030.00,10.28,止盈10.28%
2026-03-25 09:56:33,买入,600186,莲花控股,7.10,2800,19880.00,,,涨4.9%+换6.9%+放量
2026-03-25 10:00:44,卖出,600487,亨通光电,47.51,400,19004.00,1732.00,10.03,止盈10.03%
2026-03-25 10:00:44,买入,600301,华锡有色,49.37,400,19748.00,,,涨5.3%+换2.3%+放量
